ID,X,Y,Code,Location,OrigType,Number,Spot date,Raw material,Total (AC),Condition,Type,SubType,Classification,Description,ML,MW,MTh,SD Ref,AC Number,Photo?,Bag Number
CH1-1-17,374427,796551,CH1,Candieshill 1,flint,1,,Mottled red flint,1,OK,Blade,Inner,,,24,11,3,,,,
CH1-2-17,374347,796582,CH1,Candieshill 1,flint,1,Neo?,Light mottled grey flint,1,OK,Regular flake,Inner,Platform trimming flake?,Broad blade/flake with single dorsal scar. Possible Levallois-like flake,37,24,8,,,,
CH1-3-17,374326,796535,CH1,Candieshill 1,flint,1,,Light grey flint,1,Distal survives,Flake fragment,Secondary,,,,,,,,,
CH1-4-17,374497,796476,CH1,Candieshill 1,flint,1,,Translucent mottled grey flint,1,OK,Regular flake,Inner,,Dihedral platform. Multi-directional flake scars on dorsal.,24,22,5,,,,
CH1-5-17,374378,796537,CH1,Candieshill 1,flint,1,,Mottled grey flint,1,OK,Regular flake,Inner,Blade/flake,Hinge termination.,23,14,4,,,,
CH1-6-17,374308,796648,CH1,Candieshill 1,flint,1,,Mottled light grey flint,1,OK,Retouched blade,Inner,Knife form - notched,Fine blade with two light notches worked on one side at distal end. CF ch1-7-17 and Stainton. EN?,,,,,,,
CH1-7-17,374476,796449,CH1,Candieshill 1,flint,1,,Mottled light grey flint,1,OK,Retouched blade,Inner,Knife form - notched,Fine blade with notch worked on one side at proximal end. Down oppsite side possible edge damage from use as knife. CF Stainton. EN?,34,12,4,,,,
CH1-8-17,374480,796508,CH1,Candieshill 1,flint,1,,Mottled brown flint,1,OK,Regular flake,Secondary,,,19,32,9,,,,
CH1-9-17,374445,796398,CH1,Candieshill 1,flint,1,,Mottled brown flint,1,OK,Irregular flake,Secondary,,,44,22,10,,,,
CH1-10-17,374490,796425,CH1,Candieshill 1,flint,1,,Mottled light grey flint,1,OK,Blade,Inner,,Hinge termination.,22,13,4,,,,
CH1-11-17,374333,796619,CH1,Candieshill 1,flint,1,Neo?,Mottled red flint - Yorkshire-like,1,OK,Core,With cortex,Levallois-like,Platform made from detachment of broad flake. Part of new platform edge faceted in Levallois-like manner,47,42,36,,,,
CH1-12-17,374475,796529,CH1,Candieshill 1,flint,1,,Red flint,1,OK,Flake fragment,Secondary,,Blade ridge on dorsal,,,,,,,
CH1-13-17,374308,796648,CH1,Candieshill 1,flint,1,,Burnt flint,1,Calcined,Chunk,Secondary,,,,,,,,,
CH1-14-17,374364,796580,CH1,Candieshill 1,flint,1,,Mottled light grey flint,1,OK,Retouched flake,Inner,Knife form,Cortical platfrom. Light shalloe edge retouch down one side. Edge damage from possible use as knife down opposite edge.,25,23,7,,,,
CH1-15-17,374487,796481,CH1,Candieshill 1,flint,1,,Mottled red/brown flint,1,OK,Regular flake,Secondary,,,44,27,14,,,,
CH1-16-17,374357,796575,CH1,Candieshill 1,flint,1,,Grey flint,1,OK,Irregular flake,Primary,,,32,22,4,,,,
CH1-17-17,374469,796492,CH1,Candieshill 1,flint,1,,Toffee flint,1,Rolled,Small flake,Inner,,Small blade fragment.,,,,,,,
CH1-18-17,374525,796462,CH1,Candieshill 1,flint,1,,Mottled grey flint,1,OK,Regular flake,Secondary,,,15,21,5,,,,
CH1-19-17,374307,796571,CH1,Candieshill 1,flint,1,,Mottled brown flint,1,OK,Regular flake,Inner,Blade/flake,,19,14,3,,,,
CH1-20-17,374382,796508,CH1,Candieshill 1,flint,1,,Mottled brown flint,1,OK,Core,With cortex,Bipolar,Single platform blade scars on one face and heavy step fractures on opposite face possibly from reworking as bipolar core,34,24,17,,,,
CH1-21-17,374354,796557,CH1,Candieshill 1,flint,1,,Burnt flint,1,Calcined,Chunk,Inner,,,,,,,,,
CH1-22-17,374401,796477,CH1,Candieshill 1,flint,1,,Red flint,1,Distal survives,Blade,Inner,,Forked blade scars on dorsal.,broken 18,12,4,,,,
CH1-23-17,374461,796475,CH1,Candieshill 1,flint,1,,Red flint,1,OK,Retouched flake,Secondary,Knife form,"Semi-abrupt retouch around long, inner distal end. Cortex around proximal end.",23,32,9,,,,
CH1-24-17,374402,796538,CH1,Candieshill 1,flint,1,,Mottled brown flint,1,OK,Irregular flake,Inner,,,35,50,11,,,,
CH1-25-17,374454,796455,CH1,Candieshill 1,flint,1,,Quartz,1,OK,Chunk,Secondary,,?Possibly natural,,,,,,,
CH1-26-17,374429,796407,CH1,Candieshill 1,flint,1,,Toffee flint,1,OK,Regular flake,Secondary,,,18,14,6,,,,
CC1-1-17,373512,796168,CC1,Crathes Castle field 1,flint,1,,Burnt flint,1,Calcined,Chunk,Inner,,,,,,,,,
CC1-2-17,373512,796168,CC1,Crathes Castle field 1,flint,1,,Toffee flint,1,OK,Chunk,Secondary,,Fragment,,,,,,,
CC1-3-17,373377,796386,CC1,Crathes Castle field 1,flint,1,,Burnt flint,1,Calcined,Blade fragment,Inner,,,,,,,,,
CC1-4-17,373528,796233,CC1,Crathes Castle field 1,flint,1,,Burnt flint,1,Calcined,Chunk,Inner,,fragment,,,,,,,
CC1-5-17,373274,796426,CC1,Crathes Castle field 1,flint,1,,Toffee flint,1,OK,Regular flake,Secondary,,,18,17,6,,,,
CC1-6-17,373535,796175,CC1,Crathes Castle field 1,flint,1,,Toffee flint,1,OK,Small flake,Secondary,,,,,,,,,
CC1-7-17,373535,796175,CC1,Crathes Castle field 1,flint,1,,Toffee flint,1,OK,Core,With cortex,SP/Blade,Cortex backing. Flaked platform with step fractures,34,32,22,,,,
CC1-8-17,373463,796187,CC1,Crathes Castle field 1,flint,1,,Toffee flint,1,OK,Flake fragment,Secondary,,,,,,,,,
CC1-9-17,373467,796188,CC1,Crathes Castle field 1,flint,1,,Burnt flint,1,Calcined,Spall,Primary,,,,,,,,,
CC1-10-17,373498,796261,CC1,Crathes Castle field 1,flint,1,,Burnt flint,1,Calcined,Spall,Secondary,,,,,,,,,
CC1-11-17,373374,796385,CC1,Crathes Castle field 1,flint,1,,Toffee flint,1,OK,Small flake,Secondary,,,,,,,,,
CC1-12-17,373558,796165,CC1,Crathes Castle field 1,flint,1,,Mottled brown/red,1,Distal survives,Blade fragment,Inner,,Single blade ridge on dorsal,x,14,4,,,,
CC1-13-17,373506,796413,CC1,Crathes Castle field 1,flint,1,,Toffee flint,1,OK,Blade,Inner,,Single blade ridge on dorsal,36,13,4,,,,
CC1-14-17,373349,796512,CC1,Crathes Castle field 1,flint,1,,Mottled brown/red,1,OK,Small flake,Inner,,,,,,,,,
CC1-15-17,373508,796433,CC1,Crathes Castle field 1,flint,1,,Toffee flint,1,OK,Blade fragment,Inner,,,x,10,2,,,,
CC1-16-17,373341,796485,CC1,Crathes Castle field 1,flint,1,,Burnt flint,1,Calcined,Chunk,,,fragment,,,,,,,
CC1-17-17,373341,796485,CC1,Crathes Castle field 1,flint,1,,Burnt flint,1,Calcined,Chunk,,,fragment,,,,,,,
CC1-18-17,373341,796485,CC1,Crathes Castle field 1,flint,1,,Mottled brown/red,1,OK,Small flake,Inner,,,,,,,,,
CC1-19-17,373341,796485,CC1,Crathes Castle field 1,flint,1,,Toffee flint,1,Proximal survives,Blade fragment,Inner,,Single blade ridge on dorsal,x,14,3,,,,
CC1-20-17,373498,796261,CC1,Crathes Castle field 1,flint,1,,Bone burnt?,,,,,,,,,,,,,
CC1-21-17,373431,796260,CC1,Crathes Castle field 1,stone,1,,Stone,1,OK,Chunk,Secondary,,,,,,,,,
CC1-22-17,373539,796188,CC1,Crathes Castle field 1,flint,1,,Mottled grey,1,OK,Chunk,Secondary,,Fragment,,,,,,,
CC1-23-17,373470,796217,CC1,Crathes Castle field 1,flint,1,,Mottled grey,1,OK,Small flake,Secondary,,,,,,,,,
CC1-24-17,373530,796440,CC1,Crathes Castle field 1,flint,1,,Mottled grey,1,OK,Irregular flake,Secondary,,,21,27,6,,,,
CC1-25-17,373586,796397,CC1,Crathes Castle field 1,flint,1,,Stone,1,Calcined,Chunk,,,,,,,,,,
CC1-26-17,373518,796442,CC1,Crathes Castle field 1,flint,1,,Burnt flint,1,Calcined,Spall,Secondary,,,,,,,,,
CC1-27-17,373503,796469,CC1,Crathes Castle field 1,flint,1,,Toffee flint,1,OK,Regular flake,Inner,,,20,14,4,,,,
CC1-28-17,373620,796506,CC1,Crathes Castle field 1,flint,1,,Patinated flint,1,Heavily patinated,Core,Without cortex,Core fragment,Part of bipolar platform?,22,18,10,,,,
EP1-1.1-16,379316,797948,EP1,East Parks 1,flint,4,,Mottled brown flint,1,OK,Core,With Cortex,Core fragment,,,,,1,,,
EP1-1.2-16,379316,797948,EP1,East Parks 1,flint,4,,Mottled brown flint,1,OK,Core,Without cortex,MP/F,,30,22,16,2,,,
EP1-1.3-16,379316,797948,EP1,East Parks 1,flint,4,,Red flint,1,OK,Small flake,Secondary,,,,,,3,,,
EP1-1.4-16,379316,797948,EP1,East Parks 1,flint,4,,Mottled brown flint,1,OK,Small flake,Secondary,,,,,,4,,,
EP1-2-16,379335,797949,EP1,East Parks 1,flint,1,,Mottled brown flint,1,OK,Core,With Cortex,SP/B,Flat cortex back,24,24,23,5,,,
EP1-3-16,379369,797950,EP1,East Parks 1,flint,1,Neo?,Mottled grey flint,1,OK,Regular flake,Secondary,,Faceted platform? Mainly primary material on dorsal.,50,39,14,6,,,
EP1-4.1-16,379230,797953,EP1,East Parks 1,flint,3,,Red flint,1,OK,Core,With Cortex,Core fragment,,,,,7,,,
EP1-4.2-16,379230,797953,EP1,East Parks 1,flint,3,,Mottled light grey flint,1,OK,Regular flake,Inner,,,19,14,4,8,,,
EP1-4.3-16,379230,797953,EP1,East Parks 1,flint,3,,Mottled grey flint,1,OK,Small flake,Secondary,,,,,,9,,,
EP1-5.1-16,379298,797953,EP1,East Parks 1,flint,4,,Mottled grey flint,1,Burnt/frost shattered,Core,With Cortex,SP/B,Step fractures. Flat cortex back,47,34,29,10,,,
EP1-5.2-16,379298,797953,EP1,East Parks 1,flint,4,,Mottled grey flint,1,OK,Regular flake,Inner,Core trimming flake,,31,22,9,11,,,
EP1-5.3-16,379298,797953,EP1,East Parks 1,flint,4,,Brown flint,1,OK,Flake fragment,Inner,,,,,,12,,,
EP1-5.4-16,379298,797953,EP1,East Parks 1,flint,4,,Red flint,1,OK,Small flake,Inner,,,,,,13,,,
EP1-6-16,379215,797954,EP1,East Parks 1,flint,1,,Burnt flint,1,Calcined,Spall,Secondary,,,,,,14,,,
EP1-7.1-16,379259,797955,EP1,East Parks 1,flint,5,Neo?,Mottled grey flint,1,OK,Regular flake,Secondary,Core trimming flake,From MP core. Late Neolithic?,54,31,17,15,,,
EP1-7.2-16,379259,797955,EP1,East Parks 1,flint,5,,Mottled grey flint,1,Patinated,Regular flake,Inner,,,34,17,11,16,,,
EP1-7.3-16,379259,797955,EP1,East Parks 1,flint,5,,Mottled grey flint,1,OK,Regular flake,Inner,Core trimming flake,,23,19,7,17,,,
EP1-7.4-16,379259,797955,EP1,East Parks 1,flint,5,,Brown flint,1,OK,Blade,Inner,,,22,10,3,18,,,
EP1-7.5-16,379259,797955,EP1,East Parks 1,flint,5,,Grey flint,1,OK,Small flake,Secondary,,,,,,19,,,
EP1-8.1-16,379245,797957,EP1,East Parks 1,flint,2,,Mottled grey flint,1,OK,Regular flake,Inner,,,35,28,11,20,,,
EP1-8.2-16,379245,797957,EP1,East Parks 1,flint,2,,Mottled brown flint,1,OK,Irregular flake,Primary,,,22,18,11,21,,,
EP1-9.1-16,379290,797959,EP1,East Parks 1,flint,2,,Mottled light grey flint,1,OK,Small flake,Inner,,,,,,22,,,
EP1-9.2-16,379290,797959,EP1,East Parks 1,flint,2,,Mottled brown flint,1,OK,Chunk,Secondary,,,,,,23,,,
EP1-10.1-16,379375,797962,EP1,East Parks 1,flint,2,,Grey flint,1,OK,Flake fragment,Secondary,,,,,,24,,,
EP1-10.2-16,379375,797962,EP1,East Parks 1,flint,2,,Brown flint,1,OK,Flake fragment,Secondary,,,,,,25,,,
EP1-11-16,379377,797965,EP1,East Parks 1,flint,1,,Mottled grey flint,1,OK,Irregular flake,Inner,,,,,,26,,,
EP1-12-16,379281,797967,EP1,East Parks 1,flint,1,,Mottled brown flint,1,OK,Regular flake,Inner,,,21,19,6,27,,,
EP1-13.1-16,379394,797972,EP1,East Parks 1,flint,5,,Mottled grey flint,1,OK,Chunk,Secondary,,,,,,28,,,
EP1-13.2-16,379394,797972,EP1,East Parks 1,flint,5,,Brown flint,1,OK,Blade,Inner,,,30,11,3,29,,,
EP1-13.3-16,379394,797972,EP1,East Parks 1,flint,5,,Mottled light grey flint,1,OK,Blade,Inner,,,27,15,6,30,,,
EP1-13.4-16,379394,797972,EP1,East Parks 1,flint,5,,Mottled grey flint,1,Proximal surviving,Blade,Inner,,,,11,4,31,,,
EP1-13.5-16,379394,797972,EP1,East Parks 1,flint,5,,Mottled grey flint,1,OK,Small flake,Inner,,,,,,32,,,
EP1-14-16,379402,797973,EP1,East Parks 1,flint,1,,Mottled grey flint,1,OK,Chunk,Secondary,,,,,,33,,,
EP1-15.1-16,379411,797983,EP1,East Parks 1,flint,5,,Mottled grey flint,1,OK,Regular flake,Primary,,,32,27,12,34,,,
EP1-15.2-16,379411,797983,EP1,East Parks 1,flint,5,,Mottled grey flint,1,OK,Flake fragment,Primary,,,,,,35,,,
EP1-15.3-16,379411,797983,EP1,East Parks 1,flint,5,,Mottled light grey flint,1,OK,Blade,Inner,,,23,7,4,36,,,
EP1-15.4-16,379411,797983,EP1,East Parks 1,flint,5,,Mottled light grey flint,1,Segment,Blade,Inner,,,,8,3,37,,,
EP1-15.5-16,379411,797983,EP1,East Parks 1,flint,5,,Burnt flint,1,Calcined,Small flake,Inner,,,,,,38,,,
EP1-16-16,379231,797990,EP1,East Parks 1,flint,1,,Mottled grey flint,1,OK,Chunk,Secondary,,,,,,39,,,
EP1-17.1-16,379420,797990,EP1,East Parks 1,flint,4,,Mottled grey flint,1,OK,Chunk,Secondary,,,,,,40,,,
EP1-17.2-16,379420,797990,EP1,East Parks 1,flint,4,,Mottled grey flint,1,OK,Small flake,Inner,,,,,,41,,,
EP1-17.3-16,379420,797990,EP1,East Parks 1,flint,4,,Red flint,1,Burnt/frost shattered,Flake fragment,Inner,,,,,,42,,,
EP1-17.4-16,379420,797990,EP1,East Parks 1,flint,4,,Mottled red flint,1,OK,Small flake,Inner,,,,,,43,,,
EP1-18.1-16,379425,797997,EP1,East Parks 1,flint,2,,Mottled grey flint,1,Proximal surviving,Blade,Inner,,,,16,4,44,,,
EP1-18.2-16,379425,797997,EP1,East Parks 1,flint,2,,Mottled red flint,1,Segment,Retouched blade,Inner,Notched,Small notch made on one side - truncated by breakage.,broken 31,16,5,45,,,
EP1-19.1-16,379439,797998,EP1,East Parks 1,flint,4,,Mottled grey flint,1,OK,Blade,Inner,,,37,13,7,46,,,
EP1-19.2-16,379439,797998,EP1,East Parks 1,flint,4,,Mottled light grey flint,1,OK,Blade,Inner,,,24,14,4,47,,,
EP1-19.3-16,379439,797998,EP1,East Parks 1,flint,4,,Grey flint,1,OK,Blade,Secondary,,,26,10,4,48,,,
EP1-19.4-16,379439,797998,EP1,East Parks 1,flint,4,,Mottled red flint,1,OK,Small flake,Inner,,,,,,49,,,
EP1-20-16,379411,798002,EP1,East Parks 1,flint,1,,Mottled grey flint,1,Patinated,Regular flake,Inner,,,40,40,11,50,,,
EP1-21.1-16,379438,798003,EP1,East Parks 1,flint,3,,Mottled grey flint,1,OK,Regular flake,Secondary,,,30,29,8,51,,,
EP1-21.2-16,379438,798003,EP1,East Parks 1,flint,3,,Mottled grey flint,1,Distal surviving,Blade,Inner,,,,17,5,52,,,
EP1-21.3-16,379438,798003,EP1,East Parks 1,flint,3,,Mottled brown flint,1,OK,Irregular flake,Primary,,,,,,53,,,
EP1-22.1-16,379473,798013,EP1,East Parks 1,flint,2,,Burnt flint,1,Patinated,Core,With Cortex,SP/B,Flat cortex back,38,28,17,54,,,
EP1-22.2-16,379473,798013,EP1,East Parks 1,flint,2,,Mottled light grey flint,1,OK,Retouched blade,Inner,Notch made on one side at distal end. Made on core trimmimg blade/crested blade,,38,15,4,55,,,
EP1-23-16,379471,798016,EP1,East Parks 1,flint,1,,Mottled light grey flint,1,OK,Blade,Inner,,,32,15,4,56,,,
EP1-24-16,379523,798029,EP1,East Parks 1,flint,1,,Mottled grey flint,1,OK,Pebble fragment,,,Frost shatter?,,,,57,,,
EP1-25.1-16,379514,798035,EP1,East Parks 1,flint,3,,Red flint,1,OK,Regular flake,Inner,,,19,9,3,58,,,
EP1-25.2-16,379514,798035,EP1,East Parks 1,flint,3,,Grey flint,1,OK,Flake fragment,Inner,,,,,,59,,,
EP1-25.3-16,379514,798035,EP1,East Parks 1,flint,3,,Mottled grey flint,1,OK,Retouched flake,Inner,Scraper resharpening flake,,20,20,5,60,,,
EP1-26-16,379535,798056,EP1,East Parks 1,flint,1,,Mottled brown flint,1,OK,Core,With Cortex,SP/B,cortex back which was then removed by a large flake.,22,29,28,61,,,
EP1-27.1-16,379498,798058,EP1,East Parks 1,flint,5,,Mottled grey flint,1,OK,Blade,Secondary,,,37,12,7,62,,,
EP1-27.2-16,379498,798058,EP1,East Parks 1,flint,5,,Mottled brown flint,1,OK,Irregular flake,Primary,,,,,,63,,,
EP1-27.3-16,379498,798058,EP1,East Parks 1,flint,5,,Red flint,1,OK,Retouched flake,Secondary,Scraper resharpening flake,,19,20,5,64,,,
EP1-27.4-16,379498,798058,EP1,East Parks 1,flint,5,,Grey flint,1,Patinated,Small flake,Inner,,,,,,65,,,
EP1-27.5-16,379498,798058,EP1,East Parks 1,flint,5,,Burnt flint,1,Calcined,Chunk,Inner,,,,,,66,,,
EP1-28.1-16,379542,798073,EP1,East Parks 1,flint,3,,Mottled grey flint,1,OK,Regular flake,Inner,,,19,15,6,67,,,
EP1-28.2-16,379542,798073,EP1,East Parks 1,flint,3,,Burnt flint,1,Calcined,Flake fragment,Inner,,,,,,68,,,
EP1-28.3-16,379542,798073,EP1,East Parks 1,flint,3,Neo?,Mottled grey flint,1,Patinated,Core,Without cortex,MP/F,Levallois-like?,40,40,18,69,,,
EP1-29.1-16,379554,798081,EP1,East Parks 1,flint,2,,Brown flint,1,OK,Regular flake,Inner,,,25,20,5,70,,,
EP1-29.2-16,379554,798081,EP1,East Parks 1,flint,2,,Grey flint,1,OK,Spall,Inner,,,,,,71,,,
EP1-30.1-16,379547,798082,EP1,East Parks 1,flint,2,,Grey flint,1,Proximal surviving,Blade,Inner,,,,15,5,72,,,
EP1-30.2-16,379547,798082,EP1,East Parks 1,flint,2,,Mottled grey flint,1,OK,Pebble fragment,,,frost shatter?,,,,73,,,
EP1-31.1-16,379600,798134,EP1,East Parks 1,flint,2,,Mottled red flint,1,OK,Regular flake,Inner,,,broken 27,20,6,74,,,
EP1-31.2-16,379600,798134,EP1,East Parks 1,flint,2,,Mottled grey flint,1,OK,Regular flake,Inner,,,25,15,3,75,,,
EP1-32.1-16,379601,798194,EP1,East Parks 1,flint,2,,Toffee coloured flint,1,OK,Blade,Inner,,Very nice large blade from opposed platform core,53,19,8,76,,,
EP1-32.2-16,379601,798194,EP1,East Parks 1,slag,2,,slag,1,,,,,,,,,77,,,
EP1-1-17,379416,798023,EP1,East Parks 1,flint,1,,,,,,,,,,,,,,,
EP1-2-17,379424,797992,EP1,East Parks 1,flint,5,,,,,,,,,,,,,,,
EP1-3-17,379555,798075,EP1,East Parks 1,flint,2,,Mixed,2,OK,Small flake,Inner,,,,,,,,,
EP1-4-17,379584,798131,EP1,East Parks 1,flint,1,Meso,Mottled light brown flint,1,OK,Microlith,Inner,Elongated triangle,Long narrow triangle,29,9,4,,,,
EP1-5.1-17,379589,798142,EP1,East Parks 1,flint,2,,Red flint,1,OK,Flake fragment,Inner,,,,,,,,,
EP1-5.2-17,379589,798142,EP1,East Parks 1,flint,2,Meso,Mottled light brown flint,1,OK,Microlith,Inner,Crescent,Long narrow crescent,25,5,3,,,,
EP1-6-17,379596,798156,EP1,East Parks 1,flint,3,,Mottled light grey flint,1,OK,Retouched blade,Inner,Awl,Shallow notch on distal end and breakage down other side to form point.,26,10,5,,,,
EP1-6-17,379596,798156,EP1,East Parks 1,flint,3,,Burnt flint,1,Calcined,Flake fragment,Inner,,,,,,,,,
EP1-6-17,379596,798156,EP1,East Parks 1,flint,3,,Grey flint,1,OK,Small flake,Secondary,,,,,,,,,
EP1-7-17,379566,798098,EP1,East Parks 1,flint,1,,Translucent grey flint,1,OK,Small flake,Inner,,,,,,,,,
EP1-8.1-17,379281,797947,EP1,East Parks 1,flint,4,,Mottled light grey flint,1,OK,Regular flake,Inner,,,22,15,4,,,,
EP1-8.2-17,379281,797947,EP1,East Parks 1,flint,4,,Mottled light grey flint,1,OK,Small flake,Inner,,,,,,,,,
EP1-8.3-17,379281,797947,EP1,East Parks 1,flint,4,,Burnt flint,1,Calcined,Spall,Secondary,,,,,,,,,
EP1-8.4-17,379281,797947,EP1,East Parks 1,flint,4,,Mottled light grey flint,1,Proximal surviving,Blade,Inner,,,broken 23,10,2,,,,
EP1-9.1-17,379266,797953,EP1,East Parks 1,flint,7,,Mixed,2,,Small flake,,,,,,,,,,
EP1-9.2-17,379266,797953,EP1,East Parks 1,flint,7,,Translucent grey flint,1,OK,Regular flake,Secondary,,,18,22,5,,,,
EP1-9.3-17,379266,797953,EP1,East Parks 1,flint,7,,Grey flint,1,OK,Regular flake,Secondary,Core trimming flake,,23,15,7,,,,
EP1-9.4-17,379266,797953,EP1,East Parks 1,flint,7,,Mottled grey flint,1,OK,Flake fragment,Secondary,,,,,,,,,
EP1-9.5-17,379266,797953,EP1,East Parks 1,flint,7,,Mottled grey flint,1,OK,Regular flake,Inner,,,19,13,3,,,,
EP1-10-17,379574,798110,EP1,East Parks 1,flint,1,,Burnt flint,1,Calcined,Chunk,Inner,,,,,,,,,
EP1-11-17,379545,798061,EP1,East Parks 1,flint,4,,Grey flint,4,OK,Small flake,Inner,,,,,,,,,
EP1-12-17,379585,798134,EP1,East Parks 1,flint,1,,,,,,,,,,,,,,,
EP1-13-17,379603,798180,EP1,East Parks 1,flint,1,Neo?,Mottled brown and black flint,1,OK,Regular flake,Secondary,,Broad large flake with multi-directional flake scars on dorsal face,50,48,7,,,,
EP1-14-17,379552,798075,EP1,East Parks 1,flint,1,,Burnt flint,1,Calcined,Spall,Secondary,,,,,,,,,
EP1-15.1-17,379502,798019,EP1,East Parks 1,flint,3,,Mixed,2,OK,Small flake,Inner,,,,,,,,,
EP1-15.2-17,379502,798019,EP1,East Parks 1,flint,3,,Mottled brown flint,1,OK,Irregular flake,Primary,,,34,27,8,,,,
EP1-15.3-17,379502,798019,EP1,East Parks 1,flint,3,,Mixed,2,,Small flake,,,,,,,,,,
EP1-16.1-17,379596,798154,EP1,East Parks 1,flint,2,,Light grey flint,1,OK,Regular flake,Inner,,,17,15,5,,,,
EP1-16.2-17,379596,798154,EP1,East Parks 1,flint,2,,Grey flint,1,Proximal surviving,Blade,Inner,,,broken 19,10,3,,,,
EP1-17.1-17,379534,798048,EP1,East Parks 1,flint,3,,Mixed,2,OK,Small flake,,,,,,,,,,
EP1-17.2-17,379534,798048,EP1,East Parks 1,flint,3,,Mottled grey flint,1,OK,Flake fragment,Secondary,,,,,,,,,
EP1-18-17,379547,798065,EP1,East Parks 1,flint,1,,Mottled grey flint,1,OK,Irregular flake,Secondary,,,,,,,,,
EP1-19-17,379555,798079,EP1,East Parks 1,flint,5,,Mottled light grey flint,1,OK,Blade,Inner,,,28,12,3,,,,
EP1-19-17,379555,798079,EP1,East Parks 1,flint,5,,Mottled light grey flint,1,OK,Blade,Inner,,,27,12,4,,,,
EP1-19-17,379555,798079,EP1,East Parks 1,flint,5,,Mixed,2,OK,Small flake,Inner,,,,,,,,,
EP1-20-17,379552,798080,EP1,East Parks 1,flint,1,,Burnt flint,1,Calcined,Flake fragment,Inner,,,,,,,,,
EP1-21-17,379550,798075,EP1,East Parks 1,flint,1,,Mottled light grey flint,1,OK,Flake fragment,Inner,,,,,,,,,
EP1-22.1-17,379500,798021,EP1,East Parks 1,flint,2,,Grey flint,1,OK,Regular flake,Secondary,,,21,17,5,,,,
EP1-22.2-17,379500,798021,EP1,East Parks 1,flint,2,,Mottled red flint,1,Proximal surviving,Retouched blade,Inner,Edge retouch,Abrupt edge retouch down one side of thick blade,broken 29,18,10,,,,
EP1-23-17,379528,798045,EP1,East Parks 1,flint,2,,Burnt flint,1,Calcined,Blade,Inner,Distal surviving,,broken 22,12,4,,,,
EP1-24-17,379549,798072,EP1,East Parks 1,flint,1,,Grey flint,1,Proximal surviving,Blade,Inner,,,broken14,9,3,,,,
EP1-25-17,379548,798069,EP1,East Parks 1,flint,1,,Burnt flint,1,Calcined,Spall,Secondary,,,,,,,,,
EP1-26.1-17,379537,798054,EP1,East Parks 1,flint,2,,Light brown flint,1,OK,Regular flake,Inner,,,20,25,3,,,,
EP1-27.1-17,379542,798063,EP1,East Parks 1,flint,4,,Grey flint,1,OK,Small flake,Inner,,,,,,,,,
EP1-27.2-17,379542,798063,EP1,East Parks 1,flint,4,,Translucent grey flint,1,OK,Regular flake,Secondary,,,12,20,5,,,,
EP1-27.3-17,379542,798063,EP1,East Parks 1,flint,4,,Mottled grey flint,1,OK,Blade,Secondary,,,28,13,8,,,,
EP1-27.4-17,379542,798063,EP1,East Parks 1,flint,4,,Mottled brown flint,1,OK,Regular flake,Secondary,,,27,28,7,,,,
EP1-28.1-17,379547,798069,EP1,East Parks 1,flint,2,,Burnt flint,1,Calcined,Chunk,Inner,,,,,,,,,
EP1-28.2-17,379547,798069,EP1,East Parks 1,flint,2,,Mottled grey flint,1,OK,Regular flake,Inner,Platform rejuvenation flake,,23,22,14,,,,
EP1-29-17,379587,798139,EP1,East Parks 1,flint,1,,Mottled grey flint,1,OK,Small flake,Inner,,,,,,,,,
EP1-30-17,379565,798104,EP1,East Parks 1,flint,1,,Grey flint,1,Proximal surviving,Blade,Inner,,,broken 21,11,3,,,,
EP1-31.1-17,379563,798092,EP1,East Parks 1,flint,2,,Burnt flint,1,Calcined,Flake fragment,Secondary,,,,,,,,,
EP1-31.2-17,379563,798092,EP1,East Parks 1,flint,2,,Dark grey flint,1,OK,Irregular flake,Secondary,,,,,,,,,
EP1-32-17,379557,798085,EP1,East Parks 1,flint,2,,Mottled light grey flint,1,OK,Regular flake,Inner,,,28,15,4,,,,
EP1-32-17,379557,798085,EP1,East Parks 1,flint,2,,Brown flint,1,OK,Small flake,Inner,,,,,,,,,
EP1-33-17,379599,798180,EP1,East Parks 1,flint,1,,Mottled grey flint,1,OK,Regular flake,Inner,,,29,19,4,,,,
EP1-34-17,379434,797992,EP1,East Parks 1,flint,1,,Mottled red flint,1,OK,Blade,Inner,,,18,12,4,,,,
EP1-35-17,379600,798168,EP1,East Parks 1,flint,1,,Light grey flint,1,OK,Small flake,Inner,,,,,,,,,
EP1-35-17,379600,798168,EP1,East Parks 1,flint,1,,Light grey flint,1,Distal surviving,Blade,Inner,,,broken 18,8,2,,,,
EP1-36.1-17,379245,797951,EP1,East Parks 1,flint,5,,Burnt flint,1,Burnt/frost,Spall,Secondary,,,,,,,,,
EP1-36.2-17,379245,797951,EP1,East Parks 1,flint,5,,Grey flint,1,OK,Small flake,Inner,,,,,,,,,
EP1-36.3-17,379245,797951,EP1,East Parks 1,flint,5,,Toffee coloured flint,1,OK,Flake fragment,Inner,,,,,,,,,
EP1-36.4-17,379245,797951,EP1,East Parks 1,flint,5,,Grey flint,1,OK,Flake fragment,Inner,,,,,,,,,
EP1-36.5-17,379245,797951,EP1,East Parks 1,flint,5,,Translucent grey flint,1,OK,Regular flake,Secondary,,,25,16,9,,,,
