ID,X,Y,Code,Location,OrigType,Number,Spot date,Raw material,Total (AC),Condition,Type,SubType,Classification,Description,ML,MW,MTh,SD Ref,AC Number,Photo?,Bag Number,X_OUT,Y_OUT,X_QC,Y_QC,Grid Ref,Lat,Long,,TypeUnique
CH1-1-17,374427,796551,CH1,Candieshill 1,flint,1,,Mottled red flint,1,OK,Blade,Inner,,,24,11,3,,,,,374427,796551,0,0,NO7442796551,57.059295,-2.4232603,,Blade
CH1-2-17,374347,796582,CH1,Candieshill 1,flint,1,Neo?,Light mottled grey flint,1,OK,Regular flake,Inner,Platform trimming flake?,Broad blade/flake with single dorsal scar. Possible Levallois-like flake,37,24,8,,,,,374347,796582,0,0,NO7434796582,57.059569,-2.4245824,,Regular flake
CH1-3-17,374326,796535,CH1,Candieshill 1,flint,1,,Light grey flint,1,Distal survives,Flake fragment,Secondary,,,,,,,,,,374326,796535,0,0,NO7432696535,57.059145,-2.4249238,,Flake fragment
CH1-4-17,374497,796476,CH1,Candieshill 1,flint,1,,Translucent mottled grey flint,1,OK,Regular flake,Inner,,Dihedral platform. Multi-directional flake scars on dorsal.,24,22,5,,,,,374497,796476,0,0,NO7449796476,57.058625,-2.4220986,,Retouched blade
CH1-5-17,374378,796537,CH1,Candieshill 1,flint,1,,Mottled grey flint,1,OK,Regular flake,Inner,Blade/flake,Hinge termination.,23,14,4,,,,,374378,796537,0,0,NO7437896537,57.059166,-2.4240667,,Irregular flake
CH1-6-17,374308,796648,CH1,Candieshill 1,flint,1,,Mottled light grey flint,1,OK,Retouched blade,Inner,Knife form - notched,Fine blade with two light notches worked on one side at distal end. CF ch1-7-17 and Stainton. EN?,,,,,,,,374308,796648,0,0,NO7430896648,57.060159,-2.4252322,,Core
CH1-7-17,374476,796449,CH1,Candieshill 1,flint,1,,Mottled light grey flint,1,OK,Retouched blade,Inner,Knife form - notched,Fine blade with notch worked on one side at proximal end. Down oppsite side possible edge damage from use as knife. CF Stainton. EN?,34,12,4,,,,,374476,796449,0,0,NO7447696449,57.058381,-2.4224421,,Chunk
CH1-8-17,374480,796508,CH1,Candieshill 1,flint,1,,Mottled brown flint,1,OK,Regular flake,Secondary,,,19,32,9,,,,,374480,796508,0,0,NO7448096508,57.058911,-2.4223821,,Retouched flake
CH1-9-17,374445,796398,CH1,Candieshill 1,flint,1,,Mottled brown flint,1,OK,Irregular flake,Secondary,,,44,22,10,,,,,374445,796398,0,0,NO7444596398,57.057921,-2.4229479,,Small flake
CH1-10-17,374490,796425,CH1,Candieshill 1,flint,1,,Mottled light grey flint,1,OK,Blade,Inner,,Hinge termination.,22,13,4,,,,,374490,796425,0,0,NO7449096425,57.058166,-2.4222088,,Blade fragment
CH1-11-17,374333,796619,CH1,Candieshill 1,flint,1,Neo?,Mottled red flint - Yorkshire-like,1,OK,Core,With cortex,Levallois-like,Platform made from detachment of broad flake. Part of new platform edge faceted in Levallois-like manner,47,42,36,,,,,374333,796619,0,0,NO7433396619,57.0599,-2.4248171,,
CH1-12-17,374475,796529,CH1,Candieshill 1,flint,1,,Red flint,1,OK,Flake fragment,Secondary,,Blade ridge on dorsal,,,,,,,,374475,796529,0,0,NO7447596529,57.0591,-2.4224667,,
CH1-13-17,374308,796648,CH1,Candieshill 1,flint,1,,Burnt flint,1,Calcined,Chunk,Secondary,,,,,,,,,,374308,796648,0,0,NO7430896648,57.060159,-2.4252322,,
CH1-14-17,374364,796580,CH1,Candieshill 1,flint,1,,Mottled light grey flint,1,OK,Retouched flake,Inner,Knife form,Cortical platfrom. Light shalloe edge retouch down one side. Edge damage from possible use as knife down opposite edge.,25,23,7,,,,,374364,796580,0,0,NO7436496580,57.059552,-2.424302,,
CH1-15-17,374487,796481,CH1,Candieshill 1,flint,1,,Mottled red/brown flint,1,OK,Regular flake,Secondary,,,44,27,14,,,,,374487,796481,0,0,NO7448796481,57.058669,-2.422264,,
CH1-16-17,374357,796575,CH1,Candieshill 1,flint,1,,Grey flint,1,OK,Irregular flake,Primary,,,32,22,4,,,,,374357,796575,0,0,NO7435796575,57.059506,-2.4244169,,
CH1-17-17,374469,796492,CH1,Candieshill 1,flint,1,,Toffee flint,1,Rolled,Small flake,Inner,,Small blade fragment.,,,,,,,,374469,796492,0,0,NO7446996492,57.058767,-2.4225618,,
CH1-18-17,374525,796462,CH1,Candieshill 1,flint,1,,Mottled grey flint,1,OK,Regular flake,Secondary,,,15,21,5,,,,,374525,796462,0,0,NO7452596462,57.058501,-2.4216355,,
CH1-19-17,374307,796571,CH1,Candieshill 1,flint,1,,Mottled brown flint,1,OK,Regular flake,Inner,Blade/flake,,19,14,3,,,,,374307,796571,0,0,NO7430796571,57.059468,-2.4252408,,
CH1-20-17,374382,796508,CH1,Candieshill 1,flint,1,,Mottled brown flint,1,OK,Core,With cortex,Bipolar,Single platform blade scars on one face and heavy step fractures on opposite face possibly from reworking as bipolar core,34,24,17,,,,,374382,796508,0,0,NO7438296508,57.058906,-2.4239978,,
CH1-21-17,374354,796557,CH1,Candieshill 1,flint,1,,Burnt flint,1,Calcined,Chunk,Inner,,,,,,,,,,374354,796557,0,0,NO7435496557,57.059344,-2.4244645,,
CH1-22-17,374401,796477,CH1,Candieshill 1,flint,1,,Red flint,1,Distal survives,Blade,Inner,,Forked blade scars on dorsal.,broken 18,12,4,,,,,374401,796477,0,0,NO7440196477,57.058628,-2.4236814,,
CH1-23-17,374461,796475,CH1,Candieshill 1,flint,1,,Red flint,1,OK,Retouched flake,Secondary,Knife form,"Semi-abrupt retouch around long, inner distal end. Cortex around proximal end.",23,32,9,,,,,374461,796475,0,0,NO7446196475,57.058614,-2.422692,,
CH1-24-17,374402,796538,CH1,Candieshill 1,flint,1,,Mottled brown flint,1,OK,Irregular flake,Inner,,,35,50,11,,,,,374402,796538,0,0,NO7440296538,57.059176,-2.4236712,,
CH1-25-17,374454,796455,CH1,Candieshill 1,flint,1,,Quartz,1,OK,Chunk,Secondary,,?Possibly natural,,,,,,,,374454,796455,0,0,NO7445496455,57.058434,-2.4228054,,
CH1-26-17,374429,796407,CH1,Candieshill 1,flint,1,,Toffee flint,1,OK,Regular flake,Secondary,,,18,14,6,,,,,374429,796407,0,0,NO7442996407,57.058001,-2.4232126,,
CC1-1-17,373512,796168,CC1,Crathes Castle field 1,flint,1,,Burnt flint,1,Calcined,Chunk,Inner,,,,,,,,,,373512,796168,0,0,NO7351296168,57.055802,-2.4383051,,
CC1-2-17,373512,796168,CC1,Crathes Castle field 1,flint,1,,Toffee flint,1,OK,Chunk,Secondary,,Fragment,,,,,,,,373512,796168,0,0,NO7351296168,57.055802,-2.4383051,,
CC1-3-17,373377,796386,CC1,Crathes Castle field 1,flint,1,,Burnt flint,1,Calcined,Blade fragment,Inner,,,,,,,,,,373377,796386,0,0,NO7337796386,57.057753,-2.4405538,,
CC1-4-17,373528,796233,CC1,Crathes Castle field 1,flint,1,,Burnt flint,1,Calcined,Chunk,Inner,,fragment,,,,,,,,373528,796233,0,0,NO7352896233,57.056387,-2.4380482,,
CC1-5-17,373274,796426,CC1,Crathes Castle field 1,flint,1,,Toffee flint,1,OK,Regular flake,Secondary,,,18,17,6,,,,,373274,796426,0,0,NO7327496426,57.058106,-2.4422562,,
CC1-6-17,373535,796175,CC1,Crathes Castle field 1,flint,1,,Toffee flint,1,OK,Small flake,Secondary,,,,,,,,,,373535,796175,0,0,NO7353596175,57.055867,-2.4379267,,
CC1-7-17,373535,796175,CC1,Crathes Castle field 1,flint,1,,Toffee flint,1,OK,Core,With cortex,SP/Blade,Cortex backing. Flaked platform with step fractures,34,32,22,,,,,373535,796175,0,0,NO7353596175,57.055867,-2.4379267,,
CC1-8-17,373463,796187,CC1,Crathes Castle field 1,flint,1,,Toffee flint,1,OK,Flake fragment,Secondary,,,,,,,,,,373463,796187,0,0,NO7346396187,57.05597,-2.4391149,,
CC1-9-17,373467,796188,CC1,Crathes Castle field 1,flint,1,,Burnt flint,1,Calcined,Spall,Primary,,,,,,,,,,373467,796188,0,0,NO7346796188,57.055979,-2.4390491,,
CC1-10-17,373498,796261,CC1,Crathes Castle field 1,flint,1,,Burnt flint,1,Calcined,Spall,Secondary,,,,,,,,,,373498,796261,0,0,NO7349896261,57.056637,-2.4385458,,
CC1-11-17,373374,796385,CC1,Crathes Castle field 1,flint,1,,Toffee flint,1,OK,Small flake,Secondary,,,,,,,,,,373374,796385,0,0,NO7337496385,57.057744,-2.4406032,,
CC1-12-17,373558,796165,CC1,Crathes Castle field 1,flint,1,,Mottled brown/red,1,Distal survives,Blade fragment,Inner,,Single blade ridge on dorsal,x,14,4,,,,,373558,796165,0,0,NO7355896165,57.055778,-2.4375465,,
CC1-13-17,373506,796413,CC1,Crathes Castle field 1,flint,1,,Toffee flint,1,OK,Blade,Inner,,Single blade ridge on dorsal,36,13,4,,,,,373506,796413,0,0,NO7350696413,57.058003,-2.43843,,
CC1-14-17,373349,796512,CC1,Crathes Castle field 1,flint,1,,Mottled brown/red,1,OK,Small flake,Inner,,,,,,,,,,373349,796512,0,0,NO7334996512,57.058883,-2.4410289,,
CC1-15-17,373508,796433,CC1,Crathes Castle field 1,flint,1,,Toffee flint,1,OK,Blade fragment,Inner,,,x,10,2,,,,,373508,796433,0,0,NO7350896433,57.058183,-2.4383991,,
CC1-16-17,373341,796485,CC1,Crathes Castle field 1,flint,1,,Burnt flint,1,Calcined,Chunk,,,fragment,,,,,,,,373341,796485,0,0,NO7334196485,57.05864,-2.4411579,,
CC1-17-17,373341,796485,CC1,Crathes Castle field 1,flint,1,,Burnt flint,1,Calcined,Chunk,,,fragment,,,,,,,,373341,796485,0,0,NO7334196485,57.05864,-2.4411579,,
CC1-18-17,373341,796485,CC1,Crathes Castle field 1,flint,1,,Mottled brown/red,1,OK,Small flake,Inner,,,,,,,,,,373341,796485,0,0,NO7334196485,57.05864,-2.4411579,,
CC1-19-17,373341,796485,CC1,Crathes Castle field 1,flint,1,,Toffee flint,1,Proximal survives,Blade fragment,Inner,,Single blade ridge on dorsal,x,14,3,,,,,373341,796485,0,0,NO7334196485,57.05864,-2.4411579,,
CC1-20-17,373498,796261,CC1,Crathes Castle field 1,flint,1,,Bone burnt?,,,,,,,,,,,,,,373498,796261,0,0,NO7349896261,57.056637,-2.4385458,,
CC1-21-17,373431,796260,CC1,Crathes Castle field 1,stone,1,,Stone,1,OK,Chunk,Secondary,,,,,,,,,,373431,796260,0,0,NO7343196260,57.056624,-2.4396502,,
CC1-22-17,373539,796188,CC1,Crathes Castle field 1,flint,1,,Mottled grey,1,OK,Chunk,Secondary,,Fragment,,,,,,,,373539,796188,0,0,NO7353996188,57.055984,-2.4378621,,
CC1-23-17,373470,796217,CC1,Crathes Castle field 1,flint,1,,Mottled grey,1,OK,Small flake,Secondary,,,,,,,,,,373470,796217,0,0,NO7347096217,57.05624,-2.4390027,,
CC1-24-17,373530,796440,CC1,Crathes Castle field 1,flint,1,,Mottled grey,1,OK,Irregular flake,Secondary,,,21,27,6,,,,,373530,796440,0,0,NO7353096440,57.058247,-2.4380372,,
CC1-25-17,373586,796397,CC1,Crathes Castle field 1,flint,1,,Stone,1,Calcined,Chunk,,,,,,,,,,,373586,796397,0,0,NO7358696397,57.057864,-2.4371094,,
CC1-26-17,373518,796442,CC1,Crathes Castle field 1,flint,1,,Burnt flint,1,Calcined,Spall,Secondary,,,,,,,,,,373518,796442,0,0,NO7351896442,57.058264,-2.4382352,,
CC1-27-17,373503,796469,CC1,Crathes Castle field 1,flint,1,,Toffee flint,1,OK,Regular flake,Inner,,,20,14,4,,,,,373503,796469,0,0,NO7350396469,57.058506,-2.4384854,,
CC1-28-17,373620,796506,CC1,Crathes Castle field 1,flint,1,,Patinated flint,1,Heavily patinated,Core,Without cortex,Core fragment,Part of bipolar platform?,22,18,10,,,,,373620,796506,0,0,NO7362096506,57.058845,-2.4365604,,
EP1-1.1-16,379316,797948,EP1,East Park 1,flint,4,,Mottled brown flint,1,OK,Core,With Cortex,Core fragment,,,,,1,,,,379316,797948,0,0,NO7931697948,57.07209,-2.3427716,,
EP1-1.2-16,379316,797948,EP1,East Park 1,flint,4,,Mottled brown flint,1,OK,Core,Without cortex,MP/F,,30,22,16,2,,,,379316,797948,0,0,NO7931697948,57.07209,-2.3427716,,
EP1-1.3-16,379316,797948,EP1,East Park 1,flint,4,,Red flint,1,OK,Small flake,Secondary,,,,,,3,,,,379316,797948,0,0,NO7931697948,57.07209,-2.3427716,,
EP1-1.4-16,379316,797948,EP1,East Park 1,flint,4,,Mottled brown flint,1,OK,Small flake,Secondary,,,,,,4,,,,379316,797948,0,0,NO7931697948,57.07209,-2.3427716,,
EP1-2-16,379335,797949,EP1,East Park 1,flint,1,,Mottled brown flint,1,OK,Core,With Cortex,SP/B,Flat cortex back,24,24,23,5,,,,379335,797949,0,0,NO7933597949,57.0721,-2.3424583,,
EP1-3-16,379369,797950,EP1,East Park 1,flint,1,Neo?,Mottled grey flint,1,OK,Regular flake,Secondary,,Faceted platform? Mainly primary material on dorsal.,50,39,14,6,,,,379369,797950,0,0,NO7936997950,57.072111,-2.3418976,,
EP1-4.1-16,379230,797953,EP1,East Park 1,flint,3,,Red flint,1,OK,Core,With Cortex,Core fragment,,,,,7,,,,379230,797953,0,0,NO7923097953,57.072131,-2.3441903,,
EP1-4.2-16,379230,797953,EP1,East Park 1,flint,3,,Mottled light grey flint,1,OK,Regular flake,Inner,,,19,14,4,8,,,,379230,797953,0,0,NO7923097953,57.072131,-2.3441903,,
EP1-4.3-16,379230,797953,EP1,East Park 1,flint,3,,Mottled grey flint,1,OK,Small flake,Secondary,,,,,,9,,,,379230,797953,0,0,NO7923097953,57.072131,-2.3441903,,
EP1-5.1-16,379298,797953,EP1,East Park 1,flint,4,,Mottled grey flint,1,Burnt/frost shattered,Core,With Cortex,SP/B,Step fractures. Flat cortex back,47,34,29,10,,,,379298,797953,0,0,NO7929897953,57.072134,-2.3430688,,
EP1-5.2-16,379298,797953,EP1,East Park 1,flint,4,,Mottled grey flint,1,OK,Regular flake,Inner,Core trimming flake,,31,22,9,11,,,,379298,797953,0,0,NO7929897953,57.072134,-2.3430688,,
EP1-5.3-16,379298,797953,EP1,East Park 1,flint,4,,Brown flint,1,OK,Flake fragment,Inner,,,,,,12,,,,379298,797953,0,0,NO7929897953,57.072134,-2.3430688,,
EP1-5.4-16,379298,797953,EP1,East Park 1,flint,4,,Red flint,1,OK,Small flake,Inner,,,,,,13,,,,379298,797953,0,0,NO7929897953,57.072134,-2.3430688,,
EP1-6-16,379215,797954,EP1,East Park 1,flint,1,,Burnt flint,1,Calcined,Spall,Secondary,,,,,,14,,,,379215,797954,0,0,NO7921597954,57.07214,-2.3444378,,
EP1-7.1-16,379259,797955,EP1,East Park 1,flint,5,Neo?,Mottled grey flint,1,OK,Regular flake,Secondary,Core trimming flake,From MP core. Late Neolithic?,54,31,17,15,,,,379259,797955,0,0,NO7925997955,57.072151,-2.3437122,,
EP1-7.2-16,379259,797955,EP1,East Park 1,flint,5,,Mottled grey flint,1,Patinated,Regular flake,Inner,,,34,17,11,16,,,,379259,797955,0,0,NO7925997955,57.072151,-2.3437122,,
EP1-7.3-16,379259,797955,EP1,East Park 1,flint,5,,Mottled grey flint,1,OK,Regular flake,Inner,Core trimming flake,,23,19,7,17,,,,379259,797955,0,0,NO7925997955,57.072151,-2.3437122,,
EP1-7.4-16,379259,797955,EP1,East Park 1,flint,5,,Brown flint,1,OK,Blade,Inner,,,22,10,3,18,,,,379259,797955,0,0,NO7925997955,57.072151,-2.3437122,,
EP1-7.5-16,379259,797955,EP1,East Park 1,flint,5,,Grey flint,1,OK,Small flake,Secondary,,,,,,19,,,,379259,797955,0,0,NO7925997955,57.072151,-2.3437122,,
EP1-8.1-16,379245,797957,EP1,East Park 1,flint,2,,Mottled grey flint,1,OK,Regular flake,Inner,,,35,28,11,20,,,,379245,797957,0,0,NO7924597957,57.072168,-2.3439433,,
EP1-8.2-16,379245,797957,EP1,East Park 1,flint,2,,Mottled brown flint,1,OK,Irregular flake,Primary,,,22,18,11,21,,,,379245,797957,0,0,NO7924597957,57.072168,-2.3439433,,
EP1-9.1-16,379290,797959,EP1,East Park 1,flint,2,,Mottled light grey flint,1,OK,Small flake,Inner,,,,,,22,,,,379290,797959,0,0,NO7929097959,57.072188,-2.3432013,,
EP1-9.2-16,379290,797959,EP1,East Park 1,flint,2,,Mottled brown flint,1,OK,Chunk,Secondary,,,,,,23,,,,379290,797959,0,0,NO7929097959,57.072188,-2.3432013,,
EP1-10.1-16,379375,797962,EP1,East Park 1,flint,2,,Grey flint,1,OK,Flake fragment,Secondary,,,,,,24,,,,379375,797962,0,0,NO7937597962,57.072219,-2.3417997,,
EP1-10.2-16,379375,797962,EP1,East Park 1,flint,2,,Brown flint,1,OK,Flake fragment,Secondary,,,,,,25,,,,379375,797962,0,0,NO7937597962,57.072219,-2.3417997,,
EP1-11-16,379377,797965,EP1,East Park 1,flint,1,,Mottled grey flint,1,OK,Irregular flake,Inner,,,,,,26,,,,379377,797965,0,0,NO7937797965,57.072246,-2.3417669,,
EP1-12-16,379281,797967,EP1,East Park 1,flint,1,,Mottled brown flint,1,OK,Regular flake,Inner,,,21,19,6,27,,,,379281,797967,0,0,NO7928197967,57.072259,-2.3433504,,
EP1-13.1-16,379394,797972,EP1,East Park 1,flint,5,,Mottled grey flint,1,OK,Chunk,Secondary,,,,,,28,,,,379394,797972,0,0,NO7939497972,57.072309,-2.3414871,,
EP1-13.2-16,379394,797972,EP1,East Park 1,flint,5,,Brown flint,1,OK,Blade,Inner,,,30,11,3,29,,,,379394,797972,0,0,NO7939497972,57.072309,-2.3414871,,
EP1-13.3-16,379394,797972,EP1,East Park 1,flint,5,,Mottled light grey flint,1,OK,Blade,Inner,,,27,15,6,30,,,,379394,797972,0,0,NO7939497972,57.072309,-2.3414871,,
EP1-13.4-16,379394,797972,EP1,East Park 1,flint,5,,Mottled grey flint,1,Proximal surviving,Blade,Inner,,,,11,4,31,,,,379394,797972,0,0,NO7939497972,57.072309,-2.3414871,,
EP1-13.5-16,379394,797972,EP1,East Park 1,flint,5,,Mottled grey flint,1,OK,Small flake,Inner,,,,,,32,,,,379394,797972,0,0,NO7939497972,57.072309,-2.3414871,,
EP1-14-16,379402,797973,EP1,East Park 1,flint,1,,Mottled grey flint,1,OK,Chunk,Secondary,,,,,,33,,,,379402,797973,0,0,NO7940297973,57.072319,-2.3413553,,
EP1-15.1-16,379411,797983,EP1,East Park 1,flint,5,,Mottled grey flint,1,OK,Regular flake,Primary,,,32,27,12,34,,,,379411,797983,0,0,NO7941197983,57.072409,-2.3412077,,
EP1-15.2-16,379411,797983,EP1,East Park 1,flint,5,,Mottled grey flint,1,OK,Flake fragment,Primary,,,,,,35,,,,379411,797983,0,0,NO7941197983,57.072409,-2.3412077,,
EP1-15.3-16,379411,797983,EP1,East Park 1,flint,5,,Mottled light grey flint,1,OK,Blade,Inner,,,23,7,4,36,,,,379411,797983,0,0,NO7941197983,57.072409,-2.3412077,,
EP1-15.4-16,379411,797983,EP1,East Park 1,flint,5,,Mottled light grey flint,1,Segment,Blade,Inner,,,,8,3,37,,,,379411,797983,0,0,NO7941197983,57.072409,-2.3412077,,
EP1-15.5-16,379411,797983,EP1,East Park 1,flint,5,,Burnt flint,1,Calcined,Small flake,Inner,,,,,,38,,,,379411,797983,0,0,NO7941197983,57.072409,-2.3412077,,
EP1-16-16,379231,797990,EP1,East Park 1,flint,1,,Mottled grey flint,1,OK,Chunk,Secondary,,,,,,39,,,,379231,797990,0,0,NO7923197990,57.072464,-2.3441769,,
EP1-17.1-16,379420,797990,EP1,East Park 1,flint,4,,Mottled grey flint,1,OK,Chunk,Secondary,,,,,,40,,,,379420,797990,0,0,NO7942097990,57.072472,-2.3410598,,
EP1-17.2-16,379420,797990,EP1,East Park 1,flint,4,,Mottled grey flint,1,OK,Small flake,Inner,,,,,,41,,,,379420,797990,0,0,NO7942097990,57.072472,-2.3410598,,
EP1-17.3-16,379420,797990,EP1,East Park 1,flint,4,,Red flint,1,Burnt/frost shattered,Flake fragment,Inner,,,,,,42,,,,379420,797990,0,0,NO7942097990,57.072472,-2.3410598,,
EP1-17.4-16,379420,797990,EP1,East Park 1,flint,4,,Mottled red flint,1,OK,Small flake,Inner,,,,,,43,,,,379420,797990,0,0,NO7942097990,57.072472,-2.3410598,,
EP1-18.1-16,379425,797997,EP1,East Park 1,flint,2,,Mottled grey flint,1,Proximal surviving,Blade,Inner,,,,16,4,44,,,,379425,797997,0,0,NO7942597997,57.072535,-2.3409779,,
EP1-18.2-16,379425,797997,EP1,East Park 1,flint,2,,Mottled red flint,1,Segment,Retouched blade,Inner,Notched,Small notch made on one side - truncated by breakage.,broken 31,16,5,45,,,,379425,797997,0,0,NO7942597997,57.072535,-2.3409779,,
EP1-19.1-16,379439,797998,EP1,East Park 1,flint,4,,Mottled grey flint,1,OK,Blade,Inner,,,37,13,7,46,,,,379439,797998,0,0,NO7943997998,57.072545,-2.3407471,,
EP1-19.2-16,379439,797998,EP1,East Park 1,flint,4,,Mottled light grey flint,1,OK,Blade,Inner,,,24,14,4,47,,,,379439,797998,0,0,NO7943997998,57.072545,-2.3407471,,
EP1-19.3-16,379439,797998,EP1,East Park 1,flint,4,,Grey flint,1,OK,Blade,Secondary,,,26,10,4,48,,,,379439,797998,0,0,NO7943997998,57.072545,-2.3407471,,
EP1-19.4-16,379439,797998,EP1,East Park 1,flint,4,,Mottled red flint,1,OK,Small flake,Inner,,,,,,49,,,,379439,797998,0,0,NO7943997998,57.072545,-2.3407471,,
EP1-20-16,379411,798002,EP1,East Park 1,flint,1,,Mottled grey flint,1,Patinated,Regular flake,Inner,,,40,40,11,50,,,,379411,798002,0,0,NO7941198002,57.07258,-2.3412092,,
EP1-21.1-16,379438,798003,EP1,East Park 1,flint,3,,Mottled grey flint,1,OK,Regular flake,Secondary,,,30,29,8,51,,,,379438,798003,0,0,NO7943898003,57.07259,-2.340764,,
EP1-21.2-16,379438,798003,EP1,East Park 1,flint,3,,Mottled grey flint,1,Distal surviving,Blade,Inner,,,,17,5,52,,,,379438,798003,0,0,NO7943898003,57.07259,-2.340764,,
EP1-21.3-16,379438,798003,EP1,East Park 1,flint,3,,Mottled brown flint,1,OK,Irregular flake,Primary,,,,,,53,,,,379438,798003,0,0,NO7943898003,57.07259,-2.340764,,
EP1-22.1-16,379473,798013,EP1,East Park 1,flint,2,,Burnt flint,1,Patinated,Core,With Cortex,SP/B,Flat cortex back,38,28,17,54,,,,379473,798013,0,0,NO7947398013,57.072681,-2.3401876,,
EP1-22.2-16,379473,798013,EP1,East Park 1,flint,2,,Mottled light grey flint,1,OK,Retouched blade,Inner,Notch made on one side at distal end. Made on core trimmimg blade/crested blade,,38,15,4,55,,,,379473,798013,0,0,NO7947398013,57.072681,-2.3401876,,
EP1-23-16,379471,798016,EP1,East Park 1,flint,1,,Mottled light grey flint,1,OK,Blade,Inner,,,32,15,4,56,,,,379471,798016,0,0,NO7947198016,57.072708,-2.3402208,,
EP1-24-16,379523,798029,EP1,East Park 1,flint,1,,Mottled grey flint,1,OK,Pebble fragment,,,Frost shatter?,,,,57,,,,379523,798029,0,0,NO7952398029,57.072827,-2.3393642,,
EP1-25.1-16,379514,798035,EP1,East Park 1,flint,3,,Red flint,1,OK,Regular flake,Inner,,,19,9,3,58,,,,379514,798035,0,0,NO7951498035,57.072881,-2.3395132,,
EP1-25.2-16,379514,798035,EP1,East Park 1,flint,3,,Grey flint,1,OK,Flake fragment,Inner,,,,,,59,,,,379514,798035,0,0,NO7951498035,57.072881,-2.3395132,,
EP1-25.3-16,379514,798035,EP1,East Park 1,flint,3,,Mottled grey flint,1,OK,Retouched flake,Inner,Scraper resharpening flake,,20,20,5,60,,,,379514,798035,0,0,NO7951498035,57.072881,-2.3395132,,
EP1-26-16,379535,798056,EP1,East Park 1,flint,1,,Mottled brown flint,1,OK,Core,With Cortex,SP/B,cortex back which was then removed by a large flake.,22,29,28,61,,,,379535,798056,0,0,NO7953598056,57.07307,-2.3391685,,
EP1-27.1-16,379498,798058,EP1,East Park 1,flint,5,,Mottled grey flint,1,OK,Blade,Secondary,,,37,12,7,62,,,,379498,798058,0,0,NO7949898058,57.073087,-2.3397789,,
EP1-27.2-16,379498,798058,EP1,East Park 1,flint,5,,Mottled brown flint,1,OK,Irregular flake,Primary,,,,,,63,,,,379498,798058,0,0,NO7949898058,57.073087,-2.3397789,,
EP1-27.3-16,379498,798058,EP1,East Park 1,flint,5,,Red flint,1,OK,Retouched flake,Secondary,Scraper resharpening flake,,19,20,5,64,,,,379498,798058,0,0,NO7949898058,57.073087,-2.3397789,,
EP1-27.4-16,379498,798058,EP1,East Park 1,flint,5,,Grey flint,1,Patinated,Small flake,Inner,,,,,,65,,,,379498,798058,0,0,NO7949898058,57.073087,-2.3397789,,
EP1-27.5-16,379498,798058,EP1,East Park 1,flint,5,,Burnt flint,1,Calcined,Chunk,Inner,,,,,,66,,,,379498,798058,0,0,NO7949898058,57.073087,-2.3397789,,
EP1-28.1-16,379542,798073,EP1,East Park 1,flint,3,,Mottled grey flint,1,OK,Regular flake,Inner,,,19,15,6,67,,,,379542,798073,0,0,NO7954298073,57.073223,-2.3390545,,
EP1-28.2-16,379542,798073,EP1,East Park 1,flint,3,,Burnt flint,1,Calcined,Flake fragment,Inner,,,,,,68,,,,379542,798073,0,0,NO7954298073,57.073223,-2.3390545,,
EP1-28.3-16,379542,798073,EP1,East Park 1,flint,3,Neo?,Mottled grey flint,1,Patinated,Core,Without cortex,MP/F,Levallois-like?,40,40,18,69,,,,379542,798073,0,0,NO7954298073,57.073223,-2.3390545,,
EP1-29.1-16,379554,798081,EP1,East Park 1,flint,2,,Brown flint,1,OK,Regular flake,Inner,,,25,20,5,70,,,,379554,798081,0,0,NO7955498081,57.073296,-2.3388572,,
EP1-29.2-16,379554,798081,EP1,East Park 1,flint,2,,Grey flint,1,OK,Spall,Inner,,,,,,71,,,,379554,798081,0,0,NO7955498081,57.073296,-2.3388572,,
EP1-30.1-16,379547,798082,EP1,East Park 1,flint,2,,Grey flint,1,Proximal surviving,Blade,Inner,,,,15,5,72,,,,379547,798082,0,0,NO7954798082,57.073304,-2.3389728,,
EP1-30.2-16,379547,798082,EP1,East Park 1,flint,2,,Mottled grey flint,1,OK,Pebble fragment,,,frost shatter?,,,,73,,,,379547,798082,0,0,NO7954798082,57.073304,-2.3389728,,
EP1-31.1-16,379600,798134,EP1,East Park 1,flint,2,,Mottled red flint,1,OK,Regular flake,Inner,,,broken 27,20,6,74,,,,379600,798134,0,0,NO7960098134,57.073774,-2.3381029,,
EP1-31.2-16,379600,798134,EP1,East Park 1,flint,2,,Mottled grey flint,1,OK,Regular flake,Inner,,,25,15,3,75,,,,379600,798134,0,0,NO7960098134,57.073774,-2.3381029,,
EP1-32.1-16,379601,798194,EP1,East Park 1,flint,2,,Toffee coloured flint,1,OK,Blade,Inner,,Very nice large blade from opposed platform core,53,19,8,76,,,,379601,798194,0,0,NO7960198194,57.074313,-2.3380913,,
EP1-32.2-16,379601,798194,EP1,East Park 1,slag,2,,slag,1,,,,,,,,,77,,,,379601,798194,0,0,NO7960198194,57.074313,-2.3380913,,
EP1-1-17,379416,798023,EP1,East Park 1,flint,1,,,,,,,,,,,,,,,,379416,798023,0,0,NO7941698023,57.072769,-2.3411285,,
EP1-2-17,379424,797992,EP1,East Park 1,flint,5,,,,,,,,,,,,,,,,379424,797992,0,0,NO7942497992,57.072491,-2.340994,,
EP1-3-17,379555,798075,EP1,East Park 1,flint,2,,Mixed,2,OK,Small flake,Inner,,,,,,,,,,379555,798075,0,0,NO7955598075,57.073242,-2.3388402,,
